Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
jelavu-pewter-earring-4662,JELAVU Pewter Earring 4662,"<p data-mce-fragment=""1"">Product Code 4664</p>
<p data-mce-fragment=""1"">Pewter and silver plated</p>
<p data-mce-fragment=""1"">Nickle and lead-free</p>
<p data-mce-fragment=""1"">Hypoallergenic</p>
<p data-mce-fragment=""1"">Made in Turkey </p>",Chanour,,Jewelry,"jelavu, Verishop",true,Title,Default Title,,,,,'4662,0.0,shopify,deny,manual,30.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,active
jelavu-pewter-earring-4651,JELAVU Pewter Earring 4651,"<p data-mce-fragment=""1"">Product Code 4651</p>
<p data-mce-fragment=""1"">Pewter and silver plated</p>
<p data-mce-fragment=""1"">Nickle and lead-free</p>
<p data-mce-fragment=""1"">Hypoallergenic</p>
<p data-mce-fragment=""1"">Made in Turkey </p>",Chanour,,Jewelry,"jelavu, Verishop",true,Title,Default Title,,,,,'4651,0.0,shopify,deny,manual,30.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,active
jelavu-necklace-038-1038,JELAVU Necklace 038-1038,"<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Product Code 038-1038<br></p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">silver plated</p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Nickle and lead-free</p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Hypoallergenic</p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Made in Turkey</p>",Chanour,,Jewelry,"jelavu, Verishop",true,Title,Default Title,,,,,038-1038,0.0,shopify,continue,manual,75.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,active
jelavu-necklace-with-crystal-nn3131,JELAVU Necklace with Crystal NN3131,"<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Product Code NN3131<br data-mce-fragment=""1""></p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">silver plated</p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Nickle and lead-free</p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Hypoallergenic</p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Made in Turkey</p>",Chanour,,Jewelry,"jelavu, Verishop",true,Title,Default Title,,,,,NN3131,226.796185,shopify,deny,manual,65.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,active
jelavu-bracelet-nb2515,JELAVU bracelet NB2515,"<p data-mce-fragment=""1"">Product Code NB2515</p>
<p data-mce-fragment=""1"">Pewter and silver plated</p>
<p data-mce-fragment=""1"">Nickle and lead-free</p>
<p data-mce-fragment=""1"">Hypoallergenic</p>
<p data-mce-fragment=""1"">Made in Turkey </p>",Chanour,,Jewelry,"jelavu, Verishop",true,Title,Default Title,,,,,NB2515,226.796185,shopify,deny,manual,65.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,active
jelavu-bracelet-nb2521,JELAVU bracelet NB2521,"<p data-mce-fragment=""1"">Product Code NB2521</p>
<p data-mce-fragment=""1"">Pewter and silver plated</p>
<p data-mce-fragment=""1"">Nickle and lead-free</p>
<p data-mce-fragment=""1"">Hypoallergenic</p>
<p data-mce-fragment=""1"">Made in Turkey </p>",Chanour,,Jewelry,"jelavu, Verishop",true,Title,Default Title,,,,,NB2521,0.0,shopify,deny,manual,65.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,active
jelavu-necklace-with-crystal-oo91009,JELAVU Necklace with Crystal OO91009,"<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Product Code OO91009<br data-mce-fragment=""1""></p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">silver plated</p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Nickle and lead-free</p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Hypoallergenic</p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Made in Turkey</p>",Chanour,,Jewelry,"jelavu, Verishop",true,Title,Default Title,,,,,OO91009,226.796185,shopify,deny,manual,65.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,active
jelavu-ring-zr780,JELAVU Ring ZR780,"<p>Product Code: ZR780</p>
<p>Pewter and silver plated</p>
<p>Nickle and lead-free</p>
<p>Hypoallergenic</p>
<p>Made in Turkey </p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""> </p>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>",Chanour,,Jewelry,"jelavu, Verishop",true,Title,Default Title,,,,,ZR780,226.796185,shopify,continue,manual,30.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,active
jelavu-ring-4546,JELAVU Ring 4546,"<p>Product Code: 4546</p>
<p>Pewter and silver plated</p>
<p>Nickle and lead-free</p>
<p>Hypoallergenic</p>
<p>Made in Turkey </p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""> </p>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>",Chanour,,Jewelry,"jelavu, Verishop",true,Title,Default Title,,,,,'4546,226.796185,shopify,continue,manual,30.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,active
copy-of-jelavu-ring-4689,JELAVU Ring 4689,"<p>Product Code: 4689</p>
<p>Pewter and silver plated</p>
<p>Nickle and lead-free</p>
<p>Hypoallergenic</p>
<p>Made in Turkey </p>
<p style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""> </p>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>",Chanour,,Jewelry,"jelavu, Verishop",true,Title,Default Title,,,,,'4689,226.796185,shopify,continue,manual,30.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,active
